Time [mm:ss]	T [°C]	U [%r H]    	Tu Cap [°C]
05:20.4     	14.48 	63.3        	15.26
05:21.2     	14.62 	65.3        	15.27
05:22.1     	14.64 	61.4        	15.27
05:23.0     	14.53 	58.8        	15.27
05:23.9     	14.37 	58.1        	15.28
05:24.8     	14.38 	61.5        	15.29
05:25.7     	14.34 	60.1        	15.29
05:26.5     	14.18 	57.6        	15.29
05:27.5     	14.07 	57.2        	15.29
05:28.5     	14.05 	58.3        	15.28
05:29.3     	14.09 	59.1        	15.26
05:30.2     	14.20 	64.7        	15.26
05:31.1     	14.32 	63.9        	15.28
05:32.0     	14.30 	58.8        	15.28
05:32.9     	14.21 	57.2        	15.24
05:33.8     	14.19 	56.5        	15.25
05:34.6     	14.06 	57.0        	15.24
05:35.5     	14.01 	57.6        	15.24
05:36.4     	13.98 	57.6        	15.23
05:37.3     	13.98 	59.6        	15.22
05:38.2     	14.10 	62.5        	15.22
05:39.2     	14.20 	62.0        	15.21
05:40.1     	14.19 	61.2        	15.20
05:41.0     	14.23 	61.6        	15.20
05:41.9     	14.21 	58.7        	15.21
05:42.7     	14.16 	57.4        	15.21
05:43.6     	14.10 	57.6        	15.20
05:44.5     	14.08 	57.7        	15.20
05:45.4     	14.07 	58.0        	15.21
05:46.3     	14.09 	60.0        	15.20
05:47.2     	14.14 	61.2        	15.20
05:48.1     	14.18 	60.5        	15.21
05:48.9     	14.18 	59.3        	15.20
05:49.9     	14.17 	59.8        	15.21
05:50.9     	14.19 	60.2        	15.22
05:51.7     	14.23 	60.2        	15.22
05:52.6     	14.20 	58.6        	15.22
05:53.8     	14.23 	57.0        	15.22
05:54.8     	14.26 	57.0        	15.23
05:55.3     	14.17 	58.3        	15.23
05:56.7     	14.12 	58.1        	15.23
05:57.0     	14.13 	58.4        	15.23
05:57.9     	14.13 	58.4        	15.23
05:58.8     	14.12 	58.3        	15.23
05:59.7     	14.14 	58.5        	15.23
06:00.7     	14.14 	59.0        	15.22
06:01.6     	14.17 	59.2        	15.22
06:02.5     	14.13 	58.5        	15.22
06:03.4     	14.15 	60.6        	15.21
06:04.3     	14.21 	62.0        	15.21
06:05.1     	14.30 	63.9        	15.22
06:06.0     	14.34 	61.5        	15.22
06:06.9     	14.38 	61.1        	15.23
06:07.8     	14.38 	59.2        	15.23
06:08.7     	14.37 	60.2        	15.22
06:09.6     	14.37 	57.2        	15.21
06:10.5     	14.31 	56.4        	15.21
06:11.4     	14.29 	57.3        	15.20
06:12.4     	14.24 	57.1        	15.19
06:13.2     	14.25 	59.7        	15.17
06:14.1     	14.26 	57.6        	15.15
06:15.0     	14.22 	57.2        	15.15
06:15.9     	14.19 	58.8        	15.14
06:16.8     	14.23 	60.0        	15.12
06:17.7     	14.18 	55.9        	15.09
06:18.5     	14.12 	55.4        	15.09
06:19.4     	14.08 	55.7        	15.08
06:20.3     	14.06 	55.9        	15.07
06:21.3     	14.02 	56.1        	15.05
06:22.2     	14.00 	56.8        	15.03
06:23.1     	13.98 	56.8        	14.99
06:24.0     	13.87 	57.4        	14.98
06:24.9     	13.88 	58.0        	14.94
06:25.8     	13.91 	58.3        	14.91
06:26.6     	13.81 	60.7        	14.87
06:27.5     	13.92 	60.5        	14.91
06:28.4     	14.01 	63.2        	14.88
06:29.3     	14.10 	61.4        	14.89
06:30.2     	14.13 	61.9        	14.88
06:31.2     	14.12 	59.4        	14.85
06:32.0     	14.07 	56.9        	14.86
06:33.0     	14.07 	56.8        	14.84
06:33.9     	14.06 	57.7        	14.83
06:34.7     	14.05 	57.2        	14.83
06:35.6     	14.01 	56.1        	14.82
06:36.5     	13.92 	57.8        	14.80
06:37.4     	13.93 	60.7        	14.79
06:38.3     	13.94 	58.4        	14.78
06:39.2     	13.94 	57.6        	14.76
06:40.0     	13.87 	58.3        	14.75
06:40.9     	13.87 	58.9        	14.74
06:41.9     	13.89 	59.4        	14.74
06:42.7     	13.87 	59.1        	14.73
06:43.7     	13.88 	58.5        	14.72
06:44.6     	13.91 	59.7        	14.71
06:45.5     	13.90 	59.9        	14.71
06:46.4     	13.92 	60.5        	14.70
06:47.3     	13.89 	59.7        	14.69
06:48.1     	13.85 	58.1        	14.69
06:49.0     	13.80 	57.7        	14.69
06:49.9     	13.81 	58.0        	14.69
06:50.8     	13.83 	59.8        	14.69
06:51.7     	13.86 	60.3        	14.69
06:52.6     	13.89 	59.4        	14.69
