Time [mm:ss]	T [°C]    	U [%r H]	Tu Cap [°C]
04:55.3     	15.62     	65.4    	15.91
04:56.2     	15.83     	68.2    	15.91
04:57.1     	16.04     	65.2    	15.93
04:58.0     	16.04     	65.7    	15.94
04:58.9     	15.91     	63.1    	15.94
04:59.8     	15.71     	61.8    	15.93
05:00.6     	15.52     	62.1    	15.90
05:01.6     	15.42     	62.8    	15.88
05:02.5     	15.36     	62.7    	15.85
05:03.4     	15.31     	62.7    	15.81
05:04.3     	15.31     	63.0    	15.79
05:05.2     	15.32     	63.3    	15.76
05:06.1     	15.35     	63.3    	15.73
05:07.0     	15.30     	63.0    	15.70
05:07.9     	15.28     	62.9    	15.68
05:08.7     	15.23     	63.0    	15.65
05:09.6     	15.30     	64.3    	15.64
05:10.5     	15.39     	64.4    	15.63
05:11.4     	15.42     	62.5    	15.62
05:12.3     	15.35     	62.3    	15.60
05:13.3     	15.32     	62.3    	15.59
05:14.2     	15.28     	62.4    	15.57
05:15.1     	15.28     	62.5    	15.56
05:16.0     	15.31     	62.5    	15.55
05:16.8     	15.32     	62.4    	15.54
05:17.7     	15.34     	62.4    	15.53
05:18.6     	15.37     	62.4    	15.53
05:19.5     	15.40     	62.6    	15.53
05:20.4     	15.45     	63.3    	15.53
05:21.4     	15.56     	63.7    	15.54
05:22.2     	15.58     	62.4    	15.55
05:23.1     	15.62     	62.7    	15.57
05:24.0     	15.76     	62.7    	15.59
05:24.9     	15.76     	62.1    	15.61
05:25.8     	15.79     	66.1    	15.64
05:26.7     	15.76     	66.7    	15.67
05:27.5     	16.02     	63.7    	15.70
05:28.4     	15.85     	62.8    	15.72
05:29.4     	15.61     	62.0    	15.72
05:30.2     	15.41     	62.0    	15.71
05:31.2     	15.29     	62.3    	15.69
05:32.1     	15.24     	62.5    	15.67
05:33.0     	15.18     	62.6    	15.64
05:33.9     	15.15     	62.6    	15.62
05:34.3     	15.11     	62.6    	15.62
05:34.8     	15.11     	63.0    	15.59
05:35.6     	15.10     	62.9    	15.56
05:36.5     	15.13     	64.0    	15.54
05:37.4     	15.14     	64.3    	15.52
05:38.3     	15.24     	63.9    	15.50
05:39.2     	15.28     	63.5    	15.49
05:40.1     	15.25     	62.7    	15.47
05:41.0     	15.18     	64.0    	15.46
05:41.9     	15.12     	63.0    	15.44
05:42.9     	15.20     	64.7    	15.43
05:43.7     	15.32     	64.0    	15.43
05:44.6     	15.36     	64.4    	15.43
05:45.5     	15.45     	64.4    	15.44
05:46.4     	15.50     	64.3    	15.45
05:47.3     	15.51     	63.1    	15.45
05:48.2     	15.40     	62.9    	15.45
05:49.0     	15.37     	64.2    	15.46
05:50.0     	15.43     	64.4    	15.47
05:50.9     	15.46     	64.8    	15.48
05:51.7     	15.54     	67.0    	15.50
05:52.6     	15.66     	64.9    	15.52
05:53.6     	15.69     	62.7    	15.54
05:54.5     	15.52     	64.4    	15.55
05:55.4     	15.47     	62.6    	15.56
05:56.3     	15.39     	66.0    	15.57
05:57.1     	15.49     	63.4    	15.57
05:58.0     	15.36     	62.4    	15.56
05:58.9     	15.26     	63.8    	15.56
05:59.8     	15.29     	64.3    	15.55
06:00.7     	15.49     	68.2    	15.57
06:01.6     	15.72     	65.3    	15.59
06:02.5     	15.81     	64.7    	15.61
06:03.4     	15.63     	62.5    	15.61
