Time [mm:ss]	T [°C]	U [%r H]	Tu Cap [°C]
05:10.4     	18.04 	61.0    	15.53
05:11.3     	17.96 	62.0    	15.54
05:12.3     	17.89 	62.6    	15.56
05:13.1     	18.00 	61.6    	15.58
05:14.0     	18.20 	60.6    	15.59
05:14.9     	18.43 	59.0    	15.61
05:15.8     	18.22 	58.9    	15.63
05:16.7     	18.40 	58.0    	15.64
05:17.6     	17.87 	59.9    	15.65
05:18.5     	17.41 	61.6    	15.67
05:19.4     	17.32 	61.5    	15.68
05:20.3     	17.50 	60.4    	15.69
05:21.1     	17.79 	59.1    	15.70
05:22.0     	18.10 	57.9    	15.71
05:22.9     	17.87 	58.7    	15.72
05:23.8     	17.66 	59.7    	15.73
05:24.7     	17.50 	61.7    	15.74
05:25.7     	17.21 	63.8    	15.76
05:26.6     	16.92 	65.9    	15.77
05:27.5     	16.81 	67.1    	15.78
05:28.4     	16.66 	67.6    	15.79
05:29.2     	16.52 	67.0    	15.80
05:30.1     	16.51 	66.1    	15.82
05:31.1     	16.16 	66.8    	15.83
05:31.9     	16.01 	66.9    	15.84
05:32.8     	16.28 	65.3    	15.85
05:33.7     	16.48 	64.2    	15.86
05:34.6     	16.75 	62.9    	15.87
05:35.5     	16.92 	62.4    	15.87
05:36.4     	16.81 	63.1    	15.88
05:37.2     	16.88 	62.8    	15.89
05:38.2     	17.27 	61.1    	15.90
05:39.2     	17.57 	59.8    	15.91
05:40.0     	17.40 	60.3    	15.91
05:40.9     	17.09 	61.3    	15.92
05:41.8     	16.75 	62.6    	15.93
05:42.7     	16.47 	63.6    	15.95
05:43.6     	16.30 	64.4    	15.96
05:44.5     	15.96 	65.8    	15.98
05:45.3     	15.88 	66.4    	16.00
05:46.2     	15.86 	66.7    	16.02
05:47.1     	16.29 	65.2    	16.03
05:48.0     	16.87 	63.1    	16.05
05:48.9     	17.35 	61.4    	16.06
05:49.8     	17.54 	60.9    	16.08
05:50.8     	17.55 	61.2    	16.09
05:51.7     	17.47 	61.8    	16.11
05:52.6     	17.21 	63.1    	16.12
05:53.4     	16.98 	64.3    	16.14
05:54.3     	16.79 	65.3    	16.16
05:55.2     	16.59 	66.3    	16.17
05:56.1     	16.38 	67.4    	16.19
05:57.0     	16.24 	68.1    	16.21
05:57.9     	16.14 	68.9    	16.23
05:58.8     	15.96 	69.7    	16.24
05:59.7     	15.80 	70.6    	16.26
06:00.6     	15.63 	71.2    	16.28
06:01.4     	15.48 	72.0    	16.30
06:02.4     	15.36 	72.5    	16.31
06:03.4     	15.23 	73.1    	16.33
06:04.2     	15.10 	73.8    	16.35
06:05.1     	14.92 	74.1    	16.36
06:06.0     	14.80 	74.5    	16.37
06:06.9     	14.64 	74.5    	16.38
06:07.8     	14.55 	74.3    	16.39
06:08.7     	14.45 	74.5    	16.40
06:09.5     	14.31 	74.5    	16.40
06:10.5     	14.19 	74.4    	16.39
06:11.4     	14.07 	74.5    	16.39
06:12.2     	13.98 	74.7    	16.38
06:13.1     	13.91 	74.9    	16.37
06:14.0     	13.89 	75.4    	16.36
06:14.9     	13.88 	76.0    	16.34
06:16.6     	13.88 	76.6    	16.33
06:16.8     	13.96 	76.4    	16.31
06:17.7     	13.90 	75.6    	16.30
06:18.6     	13.85 	75.3    	16.28
06:19.5     	13.84 	75.1    	16.27
06:20.3     	13.91 	75.0    	16.25
06:21.2     	14.01 	75.1    	16.24
06:22.1     	14.09 	74.7    	16.22
06:23.0     	14.19 	74.2    	16.20
06:23.9     	14.28 	73.9    	16.19
06:24.8     	14.36 	73.6    	16.17
06:25.7     	14.37 	73.8    	16.16
06:26.6     	14.34 	73.4    	16.15
06:27.5     	14.21 	72.9    	16.14
06:28.3     	14.12 	73.2    	16.13
06:29.2     	14.07 	73.5    	16.12
06:30.2     	14.02 	73.6    	16.11
06:31.1     	14.04 	73.9    	16.10
06:32.0     	14.07 	74.1    	16.09
06:32.9     	14.08 	74.0    	16.08
06:33.8     	14.11 	74.1    	16.08
06:34.7     	14.12 	74.0    	16.07
06:35.6     	14.10 	73.7    	16.07
06:36.5     	14.11 	73.4    	16.07
06:37.3     	14.10 	73.2    	16.07
06:38.2     	14.13 	73.1    	16.07
06:39.1     	14.19 	73.0    	16.07
06:40.0     	14.20 	73.0    	16.08
06:40.9     	14.22 	73.0    	16.09
06:41.9     	14.26 	72.9    	16.09
06:42.8     	14.30 	72.6    	16.10
06:43.7     	14.36 	72.3    	16.11
06:44.6     	14.46 	71.9    	16.13
06:45.4     	14.53 	72.0    	16.14
06:46.3     	14.58 	72.5    	16.15
06:47.2     	14.67 	72.3    	16.17
06:48.1     	14.75 	72.2    	16.19
06:49.0     	14.81 	72.0    	16.20
06:49.9     	14.87 	71.9    	16.22
06:50.8     	14.79 	72.3    	16.24
06:51.7     	14.70 	72.4    	16.26
06:52.6     	14.63 	72.4    	16.28
06:53.4     	14.63 	73.0    	16.30
06:54.3     	14.63 	74.0    	16.31
06:55.3     	14.60 	74.6    	16.33
06:56.2     	14.57 	75.0    	16.34
06:57.1     	14.53 	75.6    	16.35
06:58.0     	14.54 	76.6    	16.37
06:58.9     	14.53 	77.3    	16.38
06:59.8     	14.55 	77.5    	16.38
07:00.7     	14.56 	77.2    	16.39
07:01.5     	14.60 	78.4    	16.40
07:02.4     	14.66 	77.9    	16.40
07:03.3     	14.69 	77.7    	16.40
07:04.2     	14.71 	77.9    	16.41
07:05.1     	14.72 	78.2    	16.41
07:06.0     	14.73 	78.0    	16.42
07:06.9     	14.97 	76.1    	16.42
07:07.8     	15.11 	75.1    	16.42
