Time [mm:ss]	T [°C]	U [%r H]   	Tu Cap [°C]
03:09.6     	16.67 	49.7       	17.21
03:10.5     	16.70 	50.9       	17.19
03:11.4     	16.61 	48.6       	17.17
03:12.3     	16.48 	48.6       	17.14
03:13.2     	16.51 	51.3       	17.14
03:14.1     	16.54 	49.2       	17.15
03:14.9     	16.55 	52.3       	17.16
03:15.8     	16.55 	50.1       	17.17
03:16.8     	16.50 	49.7       	17.11
03:17.6     	16.38 	49.0       	17.10
03:18.6     	16.34 	50.6       	17.07
03:19.5     	16.31 	49.3       	17.05
03:20.4     	16.26 	48.2       	17.03
03:21.3     	16.21 	48.7       	17.00
03:22.2     	16.11 	49.8       	16.94
03:23.0     	16.11 	49.9       	16.91
03:24.0     	16.18 	52.3       	16.91
03:24.9     	16.19 	53.6       	16.89
03:25.7     	16.31 	52.6       	16.88
03:26.6     	16.28 	51.4       	16.88
03:27.5     	16.29 	49.7       	16.86
03:28.4     	16.22 	52.7       	16.85
03:29.3     	16.40 	55.8       	16.89
03:30.2     	16.56 	59.2       	16.88
03:31.1     	16.69 	56.3       	16.73
03:32.0     	16.40 	52.9       	16.72
03:33.0     	16.37 	53.5       	16.73
03:33.8     	16.32 	54.0       	16.73
03:34.7     	16.29 	52.1       	16.73
03:35.6     	16.23 	52.2       	16.74
03:36.5     	16.16 	53.1       	16.72
03:37.4     	16.28 	58.7       	16.75
03:38.3     	16.52 	53.9       	16.88
03:39.2     	16.53 	56.6       	16.91
03:40.1     	16.67 	56.2       	16.94
03:41.0     	16.72 	54.4       	16.97
03:41.8     	16.79 	56.4       	17.00
03:42.7     	16.98 	55.9       	17.10
03:43.6     	17.02 	53.7       	17.11
03:44.5     	16.93 	53.5       	17.12
03:45.4     	16.96 	56.3       	17.14
03:46.4     	16.84 	55.4       	17.05
03:47.3     	16.84 	55.0       	17.07
03:48.2     	16.81 	55.7       	17.08
03:49.1     	16.80 	53.9       	17.09
03:49.9     	16.79 	54.7       	17.10
03:50.8     	16.71 	53.4       	17.10
03:51.8     	16.76 	58.4       	17.12
03:52.6     	16.85 	56.4       	17.13
03:53.5     	16.87 	56.6       	17.15
03:54.4     	16.94 	59.1       	17.17
03:55.3     	16.89 	53.5       	17.16
03:56.2     	16.78 	54.2       	17.16
03:57.1     	16.77 	55.2       	17.16
03:57.9     	16.67 	52.1       	17.16
03:58.8     	16.52 	52.0       	17.14
03:59.8     	16.48 	54.4       	17.12
04:00.7     	16.51 	55.0       	17.11
04:01.6     	16.57 	55.3       	17.11
04:02.5     	16.60 	56.3       	17.11
04:03.4     	16.70 	56.6       	17.12
04:04.3     	16.71 	54.9       	17.12
04:05.2     	16.74 	55.2       	17.12
04:06.0     	16.68 	54.7       	17.12
04:07.0     	16.71 	58.6       	17.13
04:07.9     	16.90 	57.5       	17.14
04:08.7     	16.85 	52.3       	17.14
04:09.6     	16.60 	49.5       	17.11
04:10.5     	16.49 	54.4       	17.10
04:11.4     	16.43 	52.4       	17.08
04:12.3     	16.45 	57.4       	17.07
04:13.3     	16.49 	53.1       	17.06
04:14.1     	16.38 	51.3       	17.05
04:15.0     	16.19 	50.9       	17.02
04:16.0     	16.09 	52.5       	17.01
04:16.8     	16.04 	55.4       	16.99
04:17.7     	16.21 	55.6       	16.99
04:18.6     	16.43 	54.3       	16.98
04:19.5     	16.33 	52.9       	16.96
04:20.4     	16.20 	51.0       	16.93
04:21.3     	16.03 	50.4       	16.90
04:22.1     	15.87 	50.8       	16.86
04:23.1     	15.81 	50.2       	16.82
04:24.0     	15.82 	50.9       	16.80
04:24.8     	15.89 	53.6       	16.77
04:25.7     	15.96 	52.2       	16.75
04:26.6     	15.96 	50.7       	16.73
04:27.6     	15.81 	48.3       	16.69
04:28.5     	15.68 	49.0       	16.64
04:29.4     	15.64 	49.9       	16.61
04:30.3     	15.64 	52.8       	16.59
04:31.2     	15.76 	49.9       	16.56
04:32.1     	15.66 	49.1       	16.52
04:32.9     	15.61 	49.1       	16.49
04:33.8     	15.59 	50.5       	16.46
04:34.7     	15.62 	52.1       	16.44
04:35.6     	15.66 	51.4       	16.42
04:36.5     	15.74 	54.6       	16.41
04:37.4     	15.84 	52.2       	16.41
04:38.3     	15.91 	51.5       	16.40
04:39.2     	15.92 	51.5       	16.40
04:40.1     	15.90 	53.4       	16.40
04:40.9     	15.99 	54.7       	16.41
04:41.9     	16.10 	53.6       	16.42
04:42.8     	16.01 	50.0       	16.41
04:43.7     	15.89 	49.9       	16.40
04:44.6     	15.90 	54.2       	16.41
04:45.5     	15.99 	54.2       	16.41
04:46.4     	16.06 	54.0       	16.42
04:47.3     	16.12 	53.8       	16.43
04:48.2     	16.17 	55.0       	16.45
04:49.0     	16.25 	55.3       	16.47
04:49.9     	16.35 	57.7       	16.50
04:50.9     	16.53 	60.2       	16.54
04:51.7     	16.69 	56.6       	16.58
04:52.6     	16.63 	54.3       	16.61
04:53.5     	16.55 	53.5       	16.62
04:54.4     	16.46 	53.0       	16.63
04:55.3     	16.40 	53.7       	16.64
04:56.3     	16.35 	56.1       	16.65
04:57.2     	16.44 	57.7       	16.67
04:58.1     	16.52 	58.4       	16.71
04:59.0     	16.61 	58.0       	16.74
04:59.9     	16.65 	56.4       	16.76
05:00.7     	16.69 	56.4       	16.78
05:01.6     	16.69 	54.7       	16.80
05:02.5     	16.62 	54.9       	16.81
05:03.4     	16.61 	56.9       	16.83
05:04.3     	16.64 	55.3       	16.84
05:05.2     	16.64 	56.2       	16.86
05:06.1     	16.67 	56.8       	16.88
05:07.0     	16.74 	58.0       	16.91
05:07.9     	16.77 	56.4       	16.93
05:08.7     	16.82 	59.4       	16.95
05:09.7     	16.93 	59.2       	16.99
05:10.6     	17.06 	63.7       	17.04
05:11.5     	17.30 	62.1       	17.10
05:12.4     	17.31 	58.5       	17.14
05:13.3     	17.20 	53.0       	17.15
05:14.2     	16.98 	55.2       	17.16
05:15.1     	16.89 	54.2       	17.16
05:16.0     	16.82 	54.2       	17.16
05:16.8     	16.68 	51.8       	17.14
05:17.7     	16.49 	52.7       	17.12
05:18.6     	16.39 	51.2       	17.09
05:19.5     	16.21 	49.0       	17.05
05:20.4     	16.10 	51.4       	17.01
05:21.4     	16.05 	51.1       	16.97
05:22.2     	16.01 	52.8       	16.94
