Time [mm:ss]	T [°C]	U [%r H]     	Tu Cap [°C]
13:18.8     	24.96 	49.3         	24.65
13:19.7     	24.94 	49.8         	24.66
13:20.6     	24.86 	50.5         	24.65
13:21.4     	24.78 	51.2         	24.64
13:22.3     	24.72 	51.4         	24.62
13:23.2     	24.62 	51.1         	24.59
13:24.2     	24.52 	50.8         	24.55
13:25.1     	24.42 	50.0         	24.50
13:26.0     	24.28 	49.5         	24.44
13:26.8     	24.11 	49.4         	24.36
13:27.7     	24.04 	49.6         	24.29
13:28.6     	24.05 	49.4         	24.24
13:29.5     	24.18 	48.9         	24.20
13:30.4     	24.17 	48.8         	24.15
13:31.3     	24.14 	48.8         	24.11
13:32.2     	24.20 	48.6         	24.09
13:33.1     	24.49 	48.0         	24.10
13:34.3     	24.78 	47.5         	24.09
13:34.5     	24.78 	47.5         	24.11
13:34.9     	24.70 	47.5         	24.13
13:35.8     	24.70 	47.7         	24.15
13:36.7     	24.77 	47.3         	24.18
13:37.6     	24.90 	46.9         	24.22
13:38.5     	24.99 	46.4         	24.27
13:39.4     	25.19 	45.9         	24.35
13:40.3     	25.48 	45.1         	24.43
13:41.2     	25.63 	44.8         	24.53
13:42.1     	25.90 	44.0         	24.63
13:43.0     	25.94 	43.9         	24.73
13:43.9     	25.94 	44.0         	24.83
13:44.8     	25.91 	44.2         	24.91
13:45.6     	25.84 	44.4         	24.98
13:46.5     	25.64 	44.8         	25.02
13:47.4     	25.55 	44.9         	25.06
13:48.3     	25.69 	44.5         	25.11
13:49.2     	25.78 	44.3         	25.16
13:50.1     	25.73 	44.5         	25.19
13:51.1     	25.72 	44.6         	25.23
13:52.0     	25.74 	44.6         	25.25
13:52.9     	25.58 	45.0         	25.25
13:53.8     	25.46 	45.2         	25.26
13:54.6     	25.42 	45.3         	25.26
13:55.5     	25.53 	45.0         	25.28
13:56.4     	25.75 	44.4         	25.33
13:57.3     	25.83 	44.3         	25.35
13:58.2     	25.73 	44.5         	25.37
13:59.1     	25.52 	45.0         	25.36
13:59.9     	25.32 	45.6         	25.33
14:00.9     	25.20 	45.7         	25.31
14:01.9     	25.25 	45.6         	25.29
14:02.7     	25.26 	45.7         	25.27
14:03.6     	25.20 	46.1         	25.24
14:04.5     	25.15 	46.1         	25.21
14:05.4     	25.18 	45.9         	25.20
14:06.3     	25.43 	45.7         	25.20
14:07.0     	25.67 	45.7         	25.20
14:07.2     	25.61 	44.5         	25.26
14:08.1     	25.82 	44.0         	25.31
14:09.0     	25.81 	44.2         	25.34
14:09.9     	25.63 	44.8         	25.36
14:10.7     	25.35 	45.3         	25.35
14:11.6     	25.08 	45.7         	25.32
14:12.5     	24.87 	46.1         	25.27
14:13.4     	24.76 	46.4         	25.22
14:14.3     	24.65 	46.8         	25.16
14:15.3     	24.66 	46.8         	25.11
14:16.1     	24.62 	46.7         	25.04
14:17.0     	24.45 	46.8         	24.96
14:18.0     	24.30 	47.1         	24.88
14:18.8     	24.23 	47.2         	24.79
14:19.7     	24.19 	47.1         	24.70
14:20.6     	24.10 	47.7         	24.62
14:21.5     	24.05 	48.0         	24.52
14:22.4     	23.99 	47.7         	24.43
14:23.3     	23.96 	47.7         	24.34
14:24.1     	23.98 	47.3         	24.26
14:25.1     	23.98 	47.2         	24.18
14:26.0     	23.98 	47.3         	24.10
14:26.9     	23.97 	47.3         	24.04
14:27.8     	24.04 	47.0         	23.99
14:28.7     	24.17 	46.8         	23.96
14:29.6     	24.27 	46.5         	23.94
14:30.4     	24.35 	46.3         	23.94
